username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Bleacher Report,890891,29-07-2020 21:26,"""It took me through five olympics to realize I wasn't alone.""
Michael Phelps and DeMar DeRozan sit down with... https://t.co/oNZvf1DK7M",378,None,8896760,673,-0.155555556,0.288888889
FIFA Women's World Cup,284944250,30-07-2020 17:56," She's one of the fiercest competitors &amp; greatest goalkeepers this game has ever seen
 #HBD to #FIFAWWC champio... https://t.co/3f3Dgi7IkW",463,HBD,856587,1815,0.3,0.7
Darren Rovell,24277551,03-08-2020 12:58,"This Day, 84 years ago: Jesse Owens wins the 100 meters at the Olympics in Berlin in front of Hitler, challenging h... https://t.co/dkYI1XSPTu",273,None,2038671,3037,0.4,0.6
Eric Feigl-Ding,18831926,03-08-2020 6:35,"1/3rd of Olympic Rowing team got #COVID19. ""Look what the virus still did to us. It knocked us down pretty hard."" s... https://t.co/ssqKbPU0Sj",321,COVID19,250022,5185,-0.065740741,0.610185185
Jawn Gonzalez,114872969,29-07-2020 15:02,"What if, by the slimmest possible margin, you came in second at the Olympics -- &amp; came to be defined by it? A deep d... https://t.co/xrVyHbr0fv",75,None,52569,3624,0,0.466666667
meb keflezighi,69002830,29-07-2020 16:23,"I saw this quote and it reminded me of life and my last Olympic race. During the Rio Olympics Marathon, I had to st... https://t.co/mg8tO6grrw",103,None,116337,458,0,0.066666667
BBC Sport,265902729,29-07-2020 16:19,"The Olympics and Paralympics could be held in front of ""a limited number of spectators"" due to Covid-19.
Full stor... https://t.co/4E73H8D6PX",50,None,8501492,326,0.051190476,0.355952381
Embassy of Israel,58562226,29-07-2020 15:03,Have you ever wanted to ask a question directly to an @MLB All-Star #baseball player? Well now is your chance! [?][?]... https://t.co/tf7GAPUxo0,22,baseball,220641,536,0.125,0.4
Dave Zirin,50684256,29-07-2020 15:07,"Strong piece by @Marc_A_Reyes84 about the Massacre at Tlatelolco, which preceded the 1968 Mexico City Olympics. Nev... https://t.co/d25Roet8Yq",15,None,105355,997,0.433333333,0.733333333
Paul Tenorio,59230820,29-07-2020 16:41,"Despite being sidelined for nearly a year with hamstring injuries, Tim Weah remains positive about his future -- and... https://t.co/UZduCdKd1e",25,None,26065,1461,0.109090909,0.356818182
Olympics,52422878,29-07-2020 16:01,"From disaster to glory.
Having struck his head on the springboard in the preliminary rounds, American... https://t.co/qbeLjHyx8m",34,None,6034427,5000,0,0
Olympics,52422878,29-07-2020 17:00,"Live from the #NBABubble, let's talk sneakers with Rui Hachimura! 
Don't miss @rui_8mura's #OlympianExperiences l... https://t.co/ivhLAi3kik",35,NBABubble,6034427,5000,0.170454545,0.5
